Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
1.15E+18,https://twitter.com/SuddenlyZen/status/1145193950145368064,"@POTUS   @realDonaldTrump 

Being president is probably stressful.  So this might make you smile.  His name is Scout.  And he's prepared for the 4th of July! 

You would like him bunches!  Also, I am sorry if I ever was mean.  I kinda want to meet you.  S",2019-06-30 04:54 +0000,82,1,0.012195122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145191400310562816,@erinsorensen That's good advice!  You sound SUPER prepared.  I bet you if you also practiced being relaxed together before hand... your dog might feel more prepared.  Dogs are cool. https://t.co/7WhVuRbPX2,2019-06-30 04:44 +0000,56,2,0.035714286,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145190227100782592,"@PeteButtigieg My amazing girlfriend told me to go early.  I trust her.  So I am going to do it.  I got lucky, Pete.  I committed to a life worth living... and I learned to start trusting in something...",2019-06-30 04:40 +0000,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145189288763674625,"@PeteButtigieg Pete... that should be a cue that someone is trying to trick us.  Looks like a hug.  Yeah.  Not a hug.  And I know a thing or two about that.

#SoNotAHug",2019-06-30 04:36 +0000,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145188915034427392,"@PeteButtigieg For the first week, he was a CRAZY dog.  He pooped every where.  He jumped on EVERYTHING.  This one time he tried to give me a hug.  SO not a hug.  It was a trick.",2019-06-30 04:34 +0000,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145188372790595585,"@PeteButtigieg I decided I was going be BOLD and be a professional PTSD dog trainer.  Because I am one.  How can I prove it?  Well, yeah he's been rehomed more than once... and... this is embarassing.",2019-06-30 04:32 +0000,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145187923630931968,@PeteButtigieg He may be a rescue that we found on craigslist because he came with a crate and it's all that we could afford.  And I feel guilty taking a service dog... because others need them more than me.,2019-06-30 04:30 +0000,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145187345324490752,"@seanhannity It's silly, I know.  But I bet people REALLY would want to see that.  Oh and my dog scout!  He is officially a service dog in training!  I have a letter and EVERYTHING!  And guess what?  I have a trainer lined up!",2019-06-30 04:28 +0000,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145186912367517696,@seanhannity I think you would have a HUGE spike in ratings if you and I sat down and played a game.  You know how people have staring contests.  And the first who blinks loses?  I dare you to a listening contest.  30 seconds.  See who speaks first.,2019-06-30 04:26 +0000,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145186522821533696,"@PeteButtigieg And I DEFINETLY don't do mean things like pick on @seanhannity.  Sorry, Sean... my brain was all buzzy.  And I was a little too honest.  But you should invite me onto your show.  Because I want a contest with you!",2019-06-30 04:25 +0000,56,1,0.017857143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145186082838986753,"@PeteButtigieg I told her that you would trust me enough that I can ask to work just 10 hours a week... because that makes my brain nicer.  And yes, when my brain is calm I don't say stupid things.",2019-06-30 04:23 +0000,39,1,0.025641026,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145185821508755456,"@PeteButtigieg So I came up with a REALLY good idea to convince you to hire me.  And yeah, my girlfriend thinks I am going to have to move.  And I told her that you would ACTUALLY believe me.",2019-06-30 04:22 +0000,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145185579581227009,@PeteButtigieg I am a REALLY good Analyst.  Like REALLY good.  But no one believes me.  Because my resume and job history is spotty.  Because I have a brain injury.  But you will!,2019-06-30 04:21 +0000,56,2,0.035714286,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145185202106437632,"@PeteButtigieg Do you want to know the reason I trust that I can be a little silly and tweet at him like I know him?  Because I have a REALLY crazy secret.  Twitter.  I can't get anyone to listen to me.  And if I said it, people would think I am weird.",2019-06-30 04:20 +0000,33,1,0.03030303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145184285915267072,"@PeteButtigieg I say CRAZY stuff like... Hey, I have some ideas that would help Pete Buttigieg get elected.  No, these aren't my ideas.  I just think that maybe he would trust me enough to listen to what I might say.",2019-06-30 04:16 +0000,54,2,0.037037037,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145183930242555904,@PeteButtigieg So I was super scared because I was worried that the VA wouldn't believe me.  Because I couldn't PROVE that I have a disability that is service connected.  How can I prove a negative?,2019-06-30 04:15 +0000,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145183625492750338,@PeteButtigieg My stress feeling is mostly broken.  I either feel ZERO stress.  And that's when people like me most.  But when I get stressed... I go crazy and I do stupid shit.  And EVERYONE wants to just medicate me.,2019-06-30 04:13 +0000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145183324471775233,"@PeteButtigieg So, sorry about that. I feel a feeling and my brain gets stressed out.  And when I talk about stress, people yell at me about how EVERYONE feels stress.",2019-06-30 04:12 +0000,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145183119810736130,@PeteButtigieg And everyone sees that I am broken and that they want to fix me.  And maybe that works on whole people.  But when I am this broken... I don't want to be fixed.  I don't want to be touched.,2019-06-30 04:11 +0000,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145182829086674944,@PeteButtigieg Sorry pete.  I started to get a little too excited.  When I start to feel anything... I get scared and I talk too much.  Because I don't know how to feel anything unless I get a chance to talk about it.,2019-06-30 04:10 +0000,37,2,0.054054054,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145182310846869504,"@PeteButtigieg I am brain damaged and I don't know what it means to forgive.  I don't even know what forgiveness means.  I just learned that people seem happier when I say ""I forgive you.""",2019-06-30 04:08 +0000,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.15E+18,https://twitter.com/SuddenlyZen/status/1145182061436780544,"@PeteButtigieg I haven't seen my son in 3 years.  Because my exwife doesn't think I am safe.  But here is the deal Pete.  I couldn't have been any safer.  And I tried to tell everyone, Pete.",2019-06-30 04:07 +0000,37,1,0.027027027,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
