word,no,yes
effort,0,0.002638522427440633
emotionally,0,0.002638522427440633
entire,0,0.005277044854881266
episode,0,0.002638522427440633
error,0,0.005277044854881266
exercise,0.0027472527472527475,0
exist,0.0027472527472527475,0
experience,0,0.002638522427440633
experienced,0,0.002638522427440633
experiment,0,0.002638522427440633
experts,0,0.0079155672823219
extreme,0,0.002638522427440633
extremely,0,0.002638522427440633
exwife,0.0027472527472527475,0.002638522427440633
fashioned,0,0.002638522427440633
faux,0,0.002638522427440633
fbi,0.0027472527472527475,0.002638522427440633
fear,0,0.002638522427440633
feel,0.01098901098901099,0.002638522427440633
feeling,0,0.005277044854881266
feelings,0.0027472527472527475,0.002638522427440633
fighting,0.0027472527472527475,0
figure,0,0.002638522427440633
figured,0.005494505494505495,0
filed,0,0.002638522427440633
finally,0.0027472527472527475,0
fire,0.0027472527472527475,0
fix,0,0.002638522427440633
fixing,0,0.002638522427440633
follow,0.005494505494505495,0
forget,0,0.002638522427440633
forgot,0.0027472527472527475,0
frank,0,0.005277044854881266
friend,0.0027472527472527475,0.005277044854881266
friends,0.0027472527472527475,0.002638522427440633
frustrating,0.0027472527472527475,0.002638522427440633
fun,0,0.002638522427440633
funny,0,0.005277044854881266
fuzzy,0,0.002638522427440633
game,0,0.002638522427440633
gender,0,0.005277044854881266
girlfriend,0.005494505494505495,0
girls,0.0027472527472527475,0
glorifies,0,0.002638522427440633
goofiness,0.0027472527472527475,0
google,0.0027472527472527475,0
government,0.0027472527472527475,0
grateful,0.0027472527472527475,0
gratification,0,0.002638522427440633
guess,0.0027472527472527475,0.002638522427440633
guy,0.0027472527472527475,0
gvjrfilqrs,0.0027472527472527475,0
hahahaha,0.0027472527472527475,0
hair,0,0.002638522427440633
hannity,0,0.002638522427440633
happened,0.005494505494505495,0
hard,0,0.002638522427440633
hates,0.0027472527472527475,0
head,0,0.002638522427440633
heads,0,0.002638522427440633
health,0,0.005277044854881266
healthcare,0,0.002638522427440633
hear,0,0.005277044854881266
heartedly,0,0.002638522427440633
helicopter,0,0.005277044854881266
hey,0.0027472527472527475,0
highly,0,0.002638522427440633
hippa,0,0.002638522427440633
history,0,0.002638522427440633
hold,0.0027472527472527475,0.002638522427440633
